"Company","Review Summary","industry","size","tagline","description","mission","founded","headquarters","website","employee_count","benefits"
"PPG Coatings (Malaysia) Sdn Bhd (Korn Ferry)","Working for a well-known multinational company is an advantage. However, the work culture can be very political and bureaucratic. This can make it difficult to get things done efficiently.","Chemical Manufacturing","Large (500+)","We protect and beautify the world.","The Malaysian arm of PPG Industries, a global supplier of paints, coatings, and specialty materials. (Note: Korn Ferry is a recruitment firm that may handle their hiring).","To be the world’s leading coatings company by consistently delivering high-quality, innovative and sustainable solutions that customers trust to protect and beautify their products and surroundings.","1883","Pittsburgh, USA (Global HQ)","https://www.ppg.com/","501-1000 (Malaysia)","Health Insurance, EPF, SOCSO, Staff Discounts, Safety Programs"
"PROPITIOUS TECHNOLOGIES (M) SDN. BHD.","The company offers a chance to work on diverse software projects. However, the management is often seen as disorganized. A lack of clear direction is a common point of frustration.","Information Technology & Services","Startup (<100)","N/A","An IT consulting and software development company.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Medical Claims, Project Exposure"
"PWC CORPORATION Sdn Bhd","Excellent learning experiences and a strong career foundation are appreciated. However, grueling work hours and a poor work-life balance are the most common complaints. This intense workload is a defining part of the job.","Professional Services & Consulting","Large (500+)","The New Equation","A multinational professional services network of firms, operating as partnerships under the PwC brand. It is the second-largest professional services network in the world.","To build trust in society and solve important problems.","1998 (Merger)","London, UK (Global HQ)","https://www.pwc.com/my/","5001-10000 (Malaysia)","Health Insurance, Professional Certifications, Wellness Programs, EPF, SOCSO"
"PUBLIC MUTUAL BERHAD","It offers a good entry point into a sales career in finance. However, the fully commission-based structure and high pressure lead to high turnover. This makes it a challenging environment to sustain a career.","Financial Services & Asset Management","Large (500+)","Your Trusted Partner in Unit Trusts","Malaysia’s largest private unit trust company, managing funds on behalf of individuals and corporate clients.","To be the most successful and respected unit trust company in Malaysia.","1975","Kuala Lumpur, Malaysia","https://www.publicmutual.com.my/","1001-5000","Full Commission, Flexible Hours, Training, Sales Incentives"
"Phillip Securities Pte Ltd","The opportunity to learn about the investment and brokerage industry is a key pro. However, the work environment is high-pressure with a strong focus on sales. It is a demanding role that is not for everyone.","Financial Services","Large (500+)","Your Partner in Finance","A member of PhillipCapital Group, offering a comprehensive suite of financial products and services including broking, asset management, and corporate finance.","To provide our clients with the best financial solutions and services.","1975","Singapore","https://www.phillip.com.my/","501-1000","Basic Salary + Commission, Professional Certifications, EPF, SOCSO, Training"
"Private Advertiser","The roles offered can be interesting and provide unique experiences. However, the lack of company information and transparency is a major drawback. This creates uncertainty and risk for job seekers.","Varies","Varies","N/A","A placeholder used by companies or recruitment agencies to post job openings without revealing the employer's identity.","N/A","N/A","N/A","N/A","Varies","Varies"
"REDFIN TECHNOLOGIES SDN. BHD.","A flexible and result-oriented work culture is a positive. However, as a small company, the benefits and resources are limited. This can be a challenge compared to working for a larger firm.","Information Technology & Services","Startup (<100)","N/A","A software development company focused on building custom web and mobile applications.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Flexible Work, Remote Options"
"Rapsol Technology Sdn Bhd","A friendly and supportive small team environment is valued. However, the salary is often below the market average. The scope of projects can also be limited, restricting professional growth.","Information Technology & Services","Startup (<100)","N/A","A small IT company providing software and web development services.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Relaxed Atmosphere, Annual Leave"
"Rocketsview Management Sdn Bhd","The company culture is energetic and fun. However, the business model can be controversial and the work is very sales-focused. The high-pressure environment is a common concern.","Marketing & Advertising","Startup (<100)","N/A","A management company involved in online marketing and business development.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Sales Commission, Fun Environment"
"SEEK","Working for a leading online employment marketplace is a major pro. However, the internal culture can be very political and matrixed. Navigating the organization to get projects done can be challenging.","Information Technology & Human Resources","Large (500+)","We help people live more fulfilling and productive working lives and help organisations succeed.","A diverse group of companies, comprising a strong portfolio of online employment, educational, commercial and volunteer businesses. Operates JobStreet and jobsDB in Asia.","To help people live more fulfilling and productive working lives and help organisations succeed.","1997","Melbourne, Australia (Global HQ)","https://www.seek.com.au/","1001-5000 (Global)","Health Insurance, Flexible Work, Share Options, EPF, SOCSO"
"SIMPLETRUSS SDN BHD","A focus on innovation in the construction tech space is a key positive. However, as a startup, the environment can be unstructured. Long hours are often required to meet deadlines.","Construction Technology","Startup (<100)","Building a Better Future","A technology company that provides software and solutions for the building and construction industry, focusing on truss design and manufacturing.","To revolutionize the construction industry with innovative technology.","N/A","Kuala Lumpur, Malaysia","https://www.simpletruss.com/","11-50","EPF, SOCSO, Medical Claims, Startup Culture"
"SNSOFT SDN. BHD.","The work environment is relaxed and the team is small and friendly. However, there is a significant lack of employee benefits and career progression. This makes it less attractive for long-term employment.","Information Technology & Services","Startup (<100)","N/A","A small software development house.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Relaxed Environment"
"SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.","Working in a critical role for the global financial network is a pro. However, the work can be very process-driven and bureaucratic. The opportunities for creative work are limited.","Financial Services","Mid-size (100-500)","The global provider of secure financial messaging services.","The Malaysian operations center for SWIFT, the global member-owned cooperative that provides the communications platform, products and services to connect more than 11,000 banking and securities organisations.","To be the catalyst for a financial ecosystem that is trusted, inclusive and sustainable.","1973","La Hulpe, Belgium (Global HQ)","https://www.swift.com/","101-250 (Malaysia)","Health Insurance, EPF, SOCSO, Global Standards, Stable Employment"
"Silverlake Axis Sdn Bhd","The company is a major player in the banking software industry. However, the work culture is often described as demanding with long hours. The management style can also be very top-down and rigid.","Financial Technology (FinTech)","Large (500+)","The Digital Economy Enabler","A leading provider of digital economy solutions, specializing in core banking systems and software for the financial services industry.","To be the leading and preferred partner for digital economy solutions in our chosen markets.","1989","Petaling Jaya, Malaysia","https://www.silverlakeaxis.com/","1001-5000","Health Insurance, EPF, SOCSO, Annual Leave, Project Bonus"
"Soft Space Sdn Bhd","A pioneering company in the fintech space with an innovative culture is valued. However, the startup environment can be chaotic and high-pressure. Work-life balance is often a challenge for employees.","Financial Technology (FinTech)","Mid-size (100-500)","The World's Leading SoftPOS Player","A leading fintech player in the APAC region that focuses on the development of solutions for the banking and payment industry.","To simplify financial infrastructures and make them accessible to everyone.","2012","Kuala Lumpur, Malaysia","https://www.softspace.com.my/","101-250","Health Insurance, EPF, SOCSO, Stock Options, Flexible Work, Free Lunch"
"Softinn Solutions Sdn. Bhd.","A friendly startup culture focused on the hospitality industry is a positive. However, the compensation is not very competitive. The small size limits the scope of career advancement.","Information Technology & Hospitality","Startup (<100)","Hotel booking engine and property management system","A software company that provides cloud-based solutions, including booking engines and property management systems, for hotels and resorts.","To help hoteliers increase their direct bookings and manage their properties more efficiently.","2013","Muar, Malaysia","https://softinn.co/","11-50","EPF, SOCSO, Relaxed Culture, Medical Claims"
"Software International Corporation (M) Sdn Bhd","A stable work environment with a long history is appreciated. However, the technology and work practices are often outdated. The company is often slow to adopt new innovations.","Information Technology & Services","Mid-size (100-500)","N/A","An established IT company in Malaysia providing a range of software and hardware solutions to corporate clients.","N/A","1985","Kuala Lumpur, Malaysia","https://www.sicms.net/","101-250","EPF, SOCSO, Medical, Stable Employment"
"Stampede Solution Sdn Bhd(Volare)","A flexible and creative work environment is a key positive. However, the projects can be small and the pay is not always competitive. It is a good place to learn but may not be for long-term growth.","Information Technology & Services","Startup (<100)","We Make Your Business Fly","A digital agency providing web development, mobile apps, and digital marketing services under the brand Volare.","To help businesses succeed online through creative and effective digital solutions.","2006","Petaling Jaya, Malaysia","https://www.stampede-solution.com/","11-50","EPF, SOCSO, Flexible Work, Creative Culture"
"Standard Chartered Bank","Exposure to international banking and diverse teams are highlighted as positives. However, a highly political and bureaucratic environment is a frequent concern. This can make project execution and career navigation challenging.","Banking & Finance","Large (500+)","Here for good","A British multinational banking and financial services company with a strong presence in Asia, Africa, and the Middle East.","To drive commerce and prosperity through our unique diversity.","1969","London, UK (Global HQ)","https://www.sc.com/my/","5001-10000 (Malaysia)","Health Insurance, Flexible Benefits, International Mobility, EPF, SOCSO"
"Sunway Berhad","Working for a large, diversified conglomerate with a strong brand is a major pro. However, the corporate culture is very hierarchical and bureaucratic. This can lead to slow progress and limited autonomy.","Diversified Conglomerate","Large (500+)","A Master Community Developer","One of Malaysia's leading conglomerates with interests in real estate, construction, education, healthcare, retail, and hospitality.","To be Asia's model corporation in sustainable development.","1974","Subang Jaya, Malaysia","https://www.sunway.com.my/","10000+","Health Insurance, EPF, SOCSO, Staff Discounts, Educational Assistance, Housing Benefits"
"TALENTBANK SDN BHD","A vibrant and youthful culture focused on employer branding is a positive. However, the workload is very high and the environment is high-pressure. The focus is more on events and sales than deep HR strategy.","Human Resources & Marketing","Startup (<100)","Connecting Great Talent with Great Companies","An employer branding, recruitment, and career education company in Malaysia, known for organizing large-scale career fairs and graduate-focused events.","To be the bridge between great talent and great companies.","2011","Kuala Lumpur, Malaysia","https://www.talentbank.com.my/","51-100","EPF, SOCSO, Medical Claims, Sales Commission, Young & Energetic Culture"
"TECSA SOFTWARE SERVICES SDN. BHD.","The company provides a good stepping stone for fresh graduates. However, the salary is low and there are few benefits. It is generally seen as a short-term option to gain experience.","Information Technology & Services","Startup (<100)","N/A","An IT services and outsourcing company.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Training Opportunities"
"Tata Consultancy Services","Job security and the opportunity to work with a large, global company are valued. However, slow career growth, salary increments, and bureaucracy are common complaints. These issues often lead to a lack of motivation for employees.","Information Technology & Services","Large (500+)","Building on Belief","An Indian multinational information technology services and consulting company, part of the Tata Group, operating in 150 locations across 46 countries.","To help customers achieve their business objectives by providing innovative, best-in-class consulting, IT solutions and services.","1968","Mumbai, India (Global HQ)","https://www.tcs.com/","5001-10000 (Malaysia)","Health Insurance, EPF, SOCSO, Training and Development, Deputation Opportunities"
"TechNez Sdn Bhd","A small, close-knit team and a relaxed atmosphere are key pros. However, the company lacks structure and has limited employee benefits. The long-term career path is often unclear.","Information Technology & Services","Startup (<100)","N/A","A small IT solutions and services company.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Relaxed Environment"
"Tentacle Tech","The company offers exposure to game development and new technologies. However, project management is often poor and deadlines are unrealistic. This leads to a stressful work environment and frequent crunch time.","Game Development","Startup (<100)","N/A","A game development studio that works on its own titles and provides services to other companies.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Creative Projects, Passionate Team"
"Tribehired.com","A modern startup culture with a focus on community is a key positive. However, the role is heavily focused on sales and recruitment targets. The pressure to perform can be very intense.","Human Resources & Information Technology","Startup (<100)","Connecting Top Tech Talent With The Best Jobs","A social recruitment platform that helps companies find and hire top tech talent through community referrals.","To make hiring more transparent and efficient for both companies and talent.","2012","Kuala Lumpur, Malaysia","https://www.tribehired.com/","11-50","EPF, SOCSO, Remote Work, Startup Vibe"
"UNISONTECH CONSULTING SDN BHD","The opportunity to gain experience in the IT field is a positive. However, it is a manpower outsourcing company with low pay. Employees often feel disconnected from the company's core mission.","Information Technology & Services","Startup (<100)","Your Trusted IT Manpower Partner","An IT outsourcing company that supplies technical personnel to various corporations for their project needs.","To provide reliable and skilled IT professionals to support our clients' operational requirements.","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Client-site Experience"
"UST Global (M) Sdn Bhd","Working with large, international clients is a major advantage. However, many employees feel like they are just contractors on a client site. The lack of a strong company culture is a common complaint.","Information Technology & Services","Large (500+)","Transforming Lives","A leading digital technology services company that provides powerful solutions for Global 1000 companies.","To lead companies through their most pressing digital transformations, creating a positive impact on the world around us.","1999","Aliso Viejo, USA (Global HQ)","https://www.ust.com/","501-1000 (Malaysia)","Health Insurance, EPF, SOCSO, Global Exposure, Training"
"Vision Technology Consulting Sdn Bhd","The company provides a path into popular technologies like Salesforce. However, the training bond and low initial salary are significant drawbacks. The business model is a point of contention for many.","Information Technology & Consulting","Startup (<100)","Your Vision, Our Technology","An IT consulting firm that trains and places candidates in high-demand technologies, often with a training bond agreement.","To bridge the talent gap in the IT industry by providing skilled consultants to our clients.","N/A","Kuala Lumpur, Malaysia","N/A","51-100","Training, EPF, SOCSO, Career Placement"
"Watson's Personal Care Stores Sdn. Bhd.","A strong brand and a clear retail career path are key positives. However, the hours are long and the work can be physically demanding. Dealing with customers and meeting sales targets adds to the pressure.","Retail","Large (500+)","Look Good, Feel Great","The largest health and beauty care chain in Asia, offering a wide range of cosmetics, skincare, toiletries, and health products.","To help customers 'Look Good, Feel Great' every day.","1841","Hong Kong","https://www.watsons.com.my/","5001-10000","Health Insurance, EPF, SOCSO, Staff Discounts, Sales Incentives, Career Progression"
"Western Digital","Good benefits and a modern, clean manufacturing environment are key advantages. However, the work can be repetitive and often involves demanding shift schedules. This is a common characteristic of the semiconductor industry.","Computer Hardware & Storage","Large (500+)","We're on a mission to unlock the potential of data","An American computer hard disk drive manufacturer and data storage company. It designs, manufactures, and sells data technology products, including storage devices, data center systems, and cloud storage services.","To unlock the potential of data by harnessing the possibility to use it.","1970","San Jose, USA (Global HQ)","https://www.westerndigital.com/","5001-10000+ (Malaysia)","Health Insurance, Dental, Optical, Stock Purchase Plan, Gym Facilities, EPF, SOCSO"
"Wiseview Information Technology","A flexible working environment is a key positive. However, as a small IT services firm, the projects can be limited in scope. Career growth and exposure to new technologies can be slow.","Information Technology & Services","Startup (<100)","N/A","A small IT services and solutions provider.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Flexible Hours"
"Zen Digital Marketing","A fun and creative work environment is appreciated. However, the pay is often low and the workload can be heavy. The digital agency life is fast-paced and demanding.","Marketing & Advertising","Startup (<100)","Achieve Your Zen with Digital","A digital marketing agency that provides services like SEO, SEM, and social media marketing to clients.","To help businesses achieve peace of mind through effective and results-driven digital marketing.","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Creative Culture, Learning Opportunities"
"Zurich Insurance Malaysia Berhad","A strong global brand and good benefits are valued. However, the internal processes are often bureaucratic and slow. The traditional insurance culture can be resistant to change.","Insurance","Large (500+)","For a brighter future","A leading global insurance company providing a wide range of general insurance and life insurance products and services for individuals, small businesses, and large corporations.","To help our customers understand and protect themselves from risk.","1872","Zurich, Switzerland (Global HQ)","https://www.zurich.com.my/","1001-5000","Health Insurance, Life Insurance, Dental, Optical, EPF, SOCSO, Flexible Benefits"
"iFAST Capital Sdn Bhd","Working in a dynamic fintech company is a major pro. However, the work-life balance is often poor with long working hours. The environment is fast-paced and can be stressful.","Financial Technology (FinTech)","Mid-size (100-500)","For An Enjoyable and Prosperous Life","A leading wealth management fintech platform, providing a comprehensive range of investment products and services to financial advisers, financial institutions, and retail investors.","To help investors around the world invest globally and profitably.","2000","Singapore (Global HQ)","https://www.ifastcapital.com.my/","101-250","Health Insurance, EPF, SOCSO, Stock Options, Professional Development"
"Fourtitude Asia Sdn Bhd","A collaborative environment with merit-based promotions and good teamwork is highly valued. The company is also seen as profitable, allowing for attractive employee bonuses.","IT / Software","Mid-size (100-500)","Delivering the Best Digital Solutions","A leading technology group in Southeast Asia with strengths in Systems & Networks, SI & Development, and UI/UX Design, providing practical technology solutions guided by human-centred design.","To provide solutions that best fit a client's strategic and tactical objectives and considerations.","2005","Petaling Jaya, Selangor, Malaysia","https://www.fourtitude.asia/","201-500","Health Insurance, EPF, SOCSO, Annual Bonuses, Collaborative Environment, Professional Development"
"Sime Darby Berhad","Working for a large, reputable conglomerate provides stability and good benefits. However, the corporate culture can be very bureaucratic and slow-moving, which often hinders agility and rapid career progression.","Industrial & Automotive","Large (500+)","Developing sustainable futures","A major Malaysian multinational conglomerate involved in industrial equipment, motors, logistics, and healthcare.","To create sustainable futures for all our stakeholders.","1910","Ara Damansara, Malaysia","https://www.simedarby.com/","20000+","Health Insurance, EPF, SOCSO, Car benefits, Staff discounts, Professional Development"
"AIA Shared Services Sdn. Bhd.","A stable work environment with good benefits is a key advantage. However, the work can be very process-driven and repetitive, with limited opportunities for creative problem-solving.","Shared Services & Insurance","Large (500+)","Healthier, Longer, Better Lives","The shared services arm of AIA in Malaysia, providing operational support in areas like finance, HR, and IT for the insurance group.","To provide efficient and excellent shared services that support AIA's mission of helping people live healthier, longer, better lives.","2009","Kuala Lumpur, Malaysia","https://www.aia.com.my/","1001-5000","Health Insurance, Dental, Optical, EPF, SOCSO, Wellness Programs"
"Accenture Malaysia","Excellent training programs and exposure to diverse, high-profile clients are highly valued. However, the demanding consulting lifestyle and poor work-life balance are significant drawbacks.","IT & Management Consulting","Large (500+)","Let there be change","The Malaysian practice of the global professional services company, providing a broad range of services in strategy, consulting, digital, technology and operations.","To deliver on the promise of technology and human ingenuity.","1989","Dublin, Ireland (Global HQ)","https://www.accenture.com/my-en","5001-10000","Health Insurance, EPF, SOCSO, Global Travel, Professional Certifications, Flexible Work"
"Agilent Technologies LDA Malaysia Sdn. Bhd.","Working with advanced scientific instruments in a high-tech environment is a key positive. The company also offers good benefits and a focus on work-life balance.","Life Sciences & Diagnostics","Large (500+)","Delivering trusted answers and insights that advance the quality of life","A global leader in life sciences, diagnostics and applied chemical markets, providing instruments, software, services and consumables for the entire laboratory workflow.","To inspire and support our customers, helping them to advance the quality of life.","1999","Penang, Malaysia","https://www.agilent.com/","1001-5000","Health Insurance, Dental, Optical, Stock Purchase Plan, EPF, SOCSO, Wellness Programs"
"Al Rajhi Banking & Investment Corporation (Malaysia) Bhd","Working in an Islamic banking environment with a strong ethical focus is appreciated. However, as a newer player, market presence and career opportunities can be more limited compared to established local banks.","Banking & Finance","Mid-size (100-500)","Unbank the Bank","The Malaysian subsidiary of the world's largest Islamic bank, offering a range of Shariah-compliant retail and corporate banking products.","To be a trusted and innovative Islamic banking partner for our customers.","2006","Riyadh, Saudi Arabia (Global HQ)","https://www.alrajhibank.com.my/","251-500","Health Insurance, EPF, SOCSO, Staff Financing Rates, Islamic Banking Training"
"Allianz Malaysia Berhad","A strong global brand with good benefits and training programs is a key advantage. However, the work environment can be high-pressure, especially in sales and claims departments.","Insurance","Large (500+)","We secure your future","A leading general and life insurer in Malaysia, part of the global Allianz Group, offering a comprehensive range of insurance products and services.","To be the trusted partner for our customers, providing them with confidence and peace of mind.","1902","Munich, Germany (Global HQ)","https://www.allianz.com.my/","1001-5000","Health Insurance, Dental, Optical, EPF, SOCSO, Flexible Benefits, Insurance Discounts"
"AmBank Group","Good exposure to the banking industry and a relatively stable work environment are appreciated. However, the culture can be bureaucratic and career progression is often slow.","Banking & Finance","Large (500+)","Your Bank. Malaysia's Bank. AmBank.","One of Malaysia’s premier financial services groups with leadership positions in the retail banking, commercial banking, investment banking, and the insurance sectors.","To help individuals and businesses in Malaysia grow and win together.","1975","Kuala Lumpur, Malaysia","https://www.ambankgroup.com/","10000+","Health Insurance, Staff Housing & Car Loans, EPF, SOCSO, Festival Bonuses"
"Amway Business Services Asia Pacific Sdn Bhd","A very positive and supportive company culture is highly praised. However, the shared services work can be transactional and may offer limited technical challenges.","Shared Services","Mid-size (100-500)","Helping people live better, healthier lives","The regional shared services center for Amway, providing finance, IT, and business support for its operations across the Asia Pacific region.","To provide high-quality shared services that support Amway's mission of helping people live better lives.","2010","Kuala Lumpur, Malaysia","https://www.amway.my/","251-500","Health Insurance, EPF, SOCSO, Wellness Programs, Product Discounts, Positive Culture"
"Analog Devices Sdn. Bhd.","The opportunity to work on high-performance analog and mixed-signal integrated circuits is a major draw for engineers. The company offers a good learning environment and benefits.","Semiconductors","Large (500+)","Ahead of What's Possible","A global leader in the design and manufacturing of analog, mixed-signal, and DSP integrated circuits used in virtually all types of electronic equipment.","To be the world's leading high-performance analog technology company, solving the toughest engineering challenges.","1965","Wilmington, USA (Global HQ)","https://www.analog.com/","501-1000 (Malaysia)","Health Insurance, Dental, Vision, Stock Options, EPF, SOCSO, R&D exposure"
"Applied Materials South East Asia Pte Ltd","Working for a leader in the semiconductor equipment industry provides excellent technical exposure. However, the work is demanding, with a fast-paced and high-pressure environment to support global clients.","Semiconductors & Manufacturing Equipment","Large (500+)","Make Possible a Better Future","The regional arm of the global leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world.","Our mission is to Make Possible a Better Future, for our employees, our customers, our communities and the world.","1967","Santa Clara, USA (Global HQ)","https://www.appliedmaterials.com/","501-1000 (Malaysia)","Health Insurance, Stock Purchase Plan, Bonuses, Global Travel, EPF, SOCSO"
"B. Braun Medical Industries Sdn. Bhd.","A strong focus on quality and employee development in a stable German MNC is highly valued. However, the manufacturing environment is highly procedural and can be bureaucratic.","Medical Devices","Large (500+)","Sharing Expertise","One of the world's leading providers and manufacturers of healthcare solutions today, with a major manufacturing hub in Penang, Malaysia.","To protect and improve the health of people around the world.","1839","Melsungen, Germany (Global HQ)","https://www.bbraun.my/","5001-10000","Health Insurance, Dental, Optical, EPF, SOCSO, Transport Subsidies, Canteen"
"BIPO SERVICE MALAYSIA SDN. BHD.","The opportunity to work with a cloud-based HR management system in a growing company is a key positive. However, as a fast-growing entity, processes can be unstructured and the workload demanding.","Human Resources & Information Technology","Startup (<100)","Your One-Stop HR Partner","A leading one-stop, global Human Resource service provider, offering cloud-based HR solutions for payroll, leave, claims, and attendance management.","To provide innovative, user-friendly, and compliant HR solutions that simplify workflows for businesses.","2010","Singapore","https://www.biposervice.com/","51-100","Health Insurance, EPF, SOCSO, Regional Exposure, Tech Startup Culture"
"Baker Hughes","The opportunity to work on global projects with cutting-edge oilfield technology is a major advantage. However, the industry is cyclical, leading to job uncertainty and restructuring.","Oil & Gas Services","Large (500+)","We take energy forward - making it safer, cleaner, and more efficient for people and the planet.","An energy technology company that provides solutions for energy and industrial customers worldwide, with expertise in oilfield services, turbomachinery, and digital solutions.","To take energy forward, making it safer, cleaner, and more efficient for people and the planet.","1987 (Merger)","Houston, USA (Global HQ)","https://www.bakerhughes.com/","1001-5000 (Malaysia)","High Compensation, Health Insurance, Offshore Allowances, Global Mobility, EPF, SOCSO"
"Baker Tilly","Good exposure for fresh graduates looking to start a career in audit and accounting is a key benefit. However, like other mid-tier firms, the work-life balance is very poor, especially during peak seasons.","Professional Services & Accounting","Mid-size (100-500)","Now, for tomorrow","A leading mid-tier accounting and business advisory firm in Malaysia, providing a range of services including audit, tax, and consulting.","To be the leading professional services firm in our chosen markets, delivering exceptional client service.","1978","Kuala Lumpur, Malaysia","https://www.bakertilly.my/","251-500","Professional Certifications, EPF, SOCSO, Medical Claims, Training"
"Boardroom Corporate Services Sdn Bhd","A stable work environment providing good exposure to corporate secretarial and share registration services is valued. However, the work can be very traditional and manual, with slow adoption of new technology.","Professional Services","Mid-size (100-500)","Expertise | Synergy | Excellence","A leading provider of corporate and advisory services in the Asia-Pacific region, offering services in corporate secretarial, share registration, and payroll outsourcing.","To be the partner of choice for corporate and advisory services, delivering excellence through our expertise.","1968","Singapore","https://www.boardroomlimited.com/my/","101-250","Health Insurance, EPF, SOCSO, Professional Development, Stable Employment"
"Boston Scientific Medical Device (Malaysia) Sdn. Bhd.","Working on life-saving medical devices is highly motivating, and the company has a strong, positive culture. However, the manufacturing environment is highly regulated and can be demanding.","Medical Devices","Large (500+)","Advancing science for life","A global developer, manufacturer and marketer of medical devices that are used in a broad range of interventional medical specialties.","To transform lives through innovative medical solutions that improve the health of patients around the world.","1979","Marlborough, USA (Global HQ)","https://www.bostonscientific.com/","1001-5000 (Malaysia)","Health Insurance, Dental, Vision, Stock Options, EPF, SOCSO, Gym Facilities"
"Broadcom Inc.","The opportunity to work on industry-leading semiconductor and infrastructure software is a key draw. However, the work environment is known to be very demanding and high-pressure following acquisitions.","Semiconductors & Software","Large (500+)","Connecting everything","A global technology leader that designs, develops and supplies a broad range of semiconductor and infrastructure software solutions.","To be a global technology leader that designs, develops and supplies a broad range of semiconductor and infrastructure software solutions.","1961","San Jose, USA (Global HQ)","https://www.broadcom.com/","501-1000 (Malaysia)","High Compensation, Health Insurance, Stock Options (RSU), EPF, SOCSO"
"CUCKOO International (MAL) Berhad","A very energetic and sales-driven culture provides high earning potential for performers. However, the pressure to meet targets is immense and the focus is heavily on sales activities.","Retail & Home Appliances","Large (500+)","Beyond Standards","A leading home appliance brand in Malaysia, renowned for its water purifiers, air purifiers, and other 'Healthy Home' solutions.","To create a healthier and happier home for all Malaysians.","2014","Kuala Lumpur, Malaysia","https://www.cuckoo.com.my/","1001-5000","High Commission, Sales Incentives, Company Trips, EPF, SOCSO, Energetic Culture"
"Dutch Lady Milk Industries Berhad","A strong brand and good work-life balance are key positives. However, as an FMCG company, the environment can be traditional and slow to adopt new marketing technologies.","Food & Beverage Manufacturing","Large (500+)","Nourishing Our Nation","A leading dairy company in Malaysia, manufacturing and distributing a wide range of dairy products such as milk for children, UHT milk, and yoghurt.","To help Malaysians move forward in life with trusted dairy nutrition.","1963","Petaling Jaya, Malaysia","https://www.dutchlady.com.my/","501-1000","Health Insurance, EPF, SOCSO, Staff Discounts, Car Allowance (for sales roles)"
"DXC Technology Malaysia Sdn Bhd.","Working with large enterprise clients on their digital transformation journeys is a key advantage. However, the organization is large and bureaucratic, which can lead to slow decision-making and project delays.","Information Technology & Services","Large (500+)","Delivering Excellence for our Customers and Colleagues","A global IT services company formed from the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise.","To lead our clients on their digital transformation journeys, multiplying their capabilities and helping them harness the power of innovation.","2017","Tysons, USA (Global HQ)","https://dxc.com/my/en","1001-5000","Health Insurance, EPF, SOCSO, Professional Certifications, Global Client Exposure"
"EDWARDS LIFESCIENCES (MALAYSIA) SDN. BHD.","The opportunity to contribute to life-saving heart valve technology is a strong motivator. The company culture is positive and patient-focused, with excellent benefits.","Medical Devices","Large (500+)","Helping patients is our life's work, and life is now.","The Malaysian manufacturing facility for the global leader in patient-focused medical innovations for structural heart disease, as well as critical care and surgical monitoring.","To partner with clinicians to develop innovative technologies in the areas of structural heart disease and critical care monitoring that save and enhance lives.","1958","Irvine, USA (Global HQ)","https://www.edwards.com/","1001-5000 (Malaysia)","Health Insurance, Dental, Vision, Stock Options, EPF, SOCSO, Wellness Programs, On-site Gym"
"FPT Software Malaysia Sdn. Bhd.","Exposure to a wide range of international projects and a fast-growing environment are positives. However, the salary structure may not be competitive with other MNCs, and processes can be chaotic.","Information Technology & Services","Large (500+)","Innovating tomorrow, today","The Malaysian arm of Vietnam's largest tech company, providing software outsourcing and IT services to clients worldwide.","To be a company that customers and partners trust for its leading-edge technology and world-class services.","1999","Hanoi, Vietnam (Global HQ)","https://fptsoftware.com/","501-1000 (Malaysia)","Health Insurance, EPF, SOCSO, Global Exposure, Training in new technologies"
"Fourtitude Asia","A collaborative environment with merit-based promotions and good teamwork is highly valued. The company is also seen as profitable, allowing for attractive employee bonuses.","IT / Software","Mid-size (100-500)","Delivering the Best Digital Solutions","A leading technology group in Southeast Asia with strengths in Systems & Networks, SI & Development, and UI/UX Design, providing practical technology solutions guided by human-centred design.","To provide solutions that best fit a client's strategic and tactical objectives and considerations.","2005","Petaling Jaya, Selangor, Malaysia","https://www.fourtitude.asia/","201-500","Health Insurance, EPF, SOCSO, Annual Bonuses, Collaborative Environment, Professional Development"
"Fusionex","The opportunity to work with big data analytics and AI technologies is a major advantage. However, the company has a very demanding work culture with long hours and high expectations.","Information Technology & Data Analytics","Mid-size (100-500)","Powering Your World With Data","An established multi-award winning data technology provider that specializes in Analytics, Big Data, IR 4.0, Machine Learning, and Artificial Intelligence.","To be the leading data technology company in Asia, providing our clients with powerful and innovative solutions.","2005","Petaling Jaya, Malaysia","https://www.fusionexgroup.com/","251-500","Health Insurance, EPF, SOCSO, Project Incentives, Exposure to AI & Big Data"
